country,mean_dist,median_dist,max_dist,argmax_dist,min_dist,argmin_dist,mean_distw,median_distw,max_distw,argmax_distw,p90_distw,min_distw,argmin_distw,mean_distcap,median_distcap,max_distcap,argmax_distcap,min_distcap,argmin_distcap
Afghanistan,7490.291525,6351.6465,16353.9,Chile,374.6522,Pakistan,7442.842583796296,6443.254,16262.29,Chile,13290.7,498.4332,Tajikistan,7480.183247727273,6351.6465,16353.9,Chile,374.6522,Pakistan
Albania,6383.107725454545,5795.5875,17971.9,New Zealand,155.9628,North Macedonia,6328.317876388889,5625.3975,17853.96,New Zealand,11658.814999999999,168.1648,North Macedonia,6370.987438636364,5747.847,17971.9,New Zealand,155.9628,North Macedonia
Algeria,6571.216626484018,6157.438,18953.23,New Zealand,643.623,Andorra,6516.543153953488,5986.565,19107.99,New Zealand,11645.687999999998,781.0697,Andorra,6561.525092237443,6102.879,18953.23,New Zealand,643.623,Andorra
Andorra,6548.7928754545455,6214.106,19455.71,New Zealand,492.9274,Spain,6487.442893055556,6067.936,19278.08,New Zealand,11849.8,519.3864,Spain,6539.375593636363,6214.106,19455.71,New Zealand,492.9274,Spain
Angola,7636.282073181818,7169.937,17965.46,Tokelau,553.1064,Zaire,7649.6239935185185,7230.496499999999,17829.95,Tokelau,12864.15,681.5906,Congo - Brazzaville,7632.547995909091,7169.937,17965.46,Tokelau,553.1064,Zaire
Anguilla,8822.298114814816,8395.649,18610.23,East Timor,284.5707,Guadeloupe,8726.740025821597,8463.621,18617.54,East Timor,14712.522,271.6314,Guadeloupe,8821.058522222222,8395.649,18610.23,East Timor,284.5707,Guadeloupe
Antigua & Barbuda,8845.230146046511,8442.194,18787.24,East Timor,126.5893,Guadeloupe,8752.430145283019,8428.036,18793.56,East Timor,14785.873000000001,108.0554,Guadeloupe,8843.986806511628,8442.194,18787.24,East Timor,126.5893,Guadeloupe
Argentina,10690.81966359447,11214.51,19447.35,South Korea,1128.317,Chile,10687.341953051642,11173.65,19146.65,South Korea,15914.108000000004,1156.726,Chile,10701.444138248848,11214.51,19447.35,South Korea,1128.317,Chile
Armenia,6751.648756880734,6126.0595,15995.51,Niue,762.4228,Iraq,6714.300346728972,6140.876,15988.23,Niue,12742.584,767.0289,Iraq,6736.352505963303,6126.0595,15995.51,Niue,762.4228,Iraq
Aruba,9190.03134109589,9223.909,19519.52,Christmas Island,408.8065,Venezuela,9126.355279069767,9217.8,19054.85,Indonesia,14795.086,437.7824,Venezuela,9190.291500913241,9223.909,19519.52,Christmas Island,408.8065,Venezuela
